log2FC	FDR
-5.321928095	-7.304820237
-0.137503524	-1.668213832
0.17085129	2.876197683
1.500073603	-0.764536371
-9.076815597	-5.427376486
-2.222392421	-3.947697478
-0.485426827	-4.079214681
-0.048455192	3.806636161
0.241757746	0.686476049
0.130060541	-0.850905465
-5.71613944	2.072194525
-0.903081857	1.275290289
-0.227177484	0.480959808
1.032914622	-0.105031066
-1.015767316	1.371822108
-1.123092867	5.127752727
0.869939459	-1.350905465
-1.448998976	3.292531593
-0.151324018	4.970479772
-0.169041886	3.752413068
-0.091630475	0.332696386
-0.750871196	2.42157738
0.185812064	1.633925185
-4.906890596	-7.512338987
-1.82045058	-0.179042048
9.921840937	-5.004863816
-0.630974898	5.089483774
-0.623088789	4.553384578
-0.610053482	-2.090901935
-2.40599236	-0.533969414
-0.408464845	3.429198788
0	-2.556393349
-1.209116776	3.624260302
-0.216780405	7.937478646
0.417195607	0.948445906
-0.078378244	8.375918819
-0.256791433	6.879136195
-0.007366969	4.13954665
-0.383836727	7.704777318
-1	-6.14385619
-1.321928095	-3.982892142
-0.505235308	0.147920275
-0.354842717	1.234004887
-0.65988562	2.559530733
1.243925583	-0.773965885
0.442277905	3.860371116
-1.434402824	-0.717201412
-1.299560282	-0.70867383
0.581687369	0.846659839
0.149412976	2.816712699
1.575214524	0.773107692
1.402098444	0.864547954
-4.906890596	-7.512338987
6.491853096	-6.719857736
6.491853096	-6.719857736
6.491853096	-6.719857736
1.718818247	-1.199484565
0.257936538	2.047354504
0.56828376	-1.501733315
-0.206450877	-2.840191033
0.694952532	4.292334712
-1.322124233	5.539787458
-1.91753784	-2.515162268
-0.825272466	2.956132116
0.198545679	0.386153987
-1.048380166	7.540552682
1.736965594	-3.190410892
-0.350750898	7.783815101
-0.286852751	8.627765941
0.874469118	-1.62165913
2.390554814	0.836823436
0.500350273	1.910099695
0.061759023	2.361437911
-0.382392736	1.552964727
0.266566097	2.898817795
0.427898121	3.017176097
5.906890596	-7.012338987
-0.364193822	1.747694087
-1.120294234	-1.560147117
-0.478745094	2.130791734
0.169925001	-3.558893689
0.028289044	0.028499815
1.321928095	-4.982892142
-1.156119202	-0.936513572
-0.906890596	-3.190410892
-3.440572591	-1.116214972
1.362570079	-1.155216228
0.807354922	-2.240178729
5.321928095	-7.304820237
-6.129283017	-6.901142776
0.204916445	2.236679162
-0.874469118	-0.162227511
-6.491853096	-6.719857736
-1.095157233	-1.636845955
-0.415037499	-1.150935221
-0.428179283	2.98597522
0.137503524	-3.253176333
-2.049193762	4.307036686
0.584962501	-1.766412439
0	1.454175893
-0.391056493	5.428572648
-0.056341333	5.224305547
-0.142063864	4.400155528
-0.139669191	4.389597023
-0.116492664	4.185879612
4.906890596	-7.512338987
-0.530245331	2.307767003
-2.169925001	-2.558893689
0.261107425	4.910338718
0.175571565	-0.146679471
-0.58936768	0.419011975
-0.175900184	5.779205071
-1.051225323	0.256795903
-0.320640924	6.940236759
-0.551400102	4.384224508
-0.282857656	4.836309021
-1	-4.558893689
0.624960569	1.628626027
0.125530882	0.578780588
0.211428554	3.223409319
1.058151753	3.488846032
1.231660301	2.612218897
0.877143252	2.216780203
1.294183104	0.980515286
1.044787922	0.672953637
-0.054886021	3.772680342
-1.332575339	-1.222681018
-0.571372528	4.348326092
-0.395432941	3.22451653
-0.578411166	4.238740516
-0.847996907	-3.897929642
0.214124805	-0.892937597
-0.193823269	1.710443287
0.785789572	2.145643378
4.321928095	-7.804820237
0.285393307	5.51808368
0.172232139	5.604021623
-0.246558563	5.463485462
0.11189288	3.173641483
1.296203553	6.229151677
0.416891353	3.975040838
0.655735575	1.167827375
-8.129283017	-5.901142776
-0.388715186	2.19795983
0.824288157	4.272113627
6.129283017	-6.901142776
0.847996907	-3.897929642
1.206072168	0.947864581
-1.028569152	0.514284576
1.486066745	1.430094061
1.021000299	2.280271889
5.64385619	-7.14385619
8.276124405	-5.827722082
-0.977021436	2.635817417
-0.923764414	-0.094511141
0	-6.64385619
-0.115477217	-2.00115508
0.465949453	2.617024533
2.398549376	-1.985149883
0.335732846	7.879911872
-0.941789244	3.93032624
-0.780404855	3.170512527
5.321928095	-7.304820237
4.321928095	-7.804820237
-0.561765651	3.90498372
0.323638463	3.237351862
0.344401957	3.308064144
-1	-5.14385619
1	-5.14385619
0.008767329	5.928008276
1.807354922	-4.740178729
0.09439695	3.439515898
5.64385619	-7.14385619
-1	-6.14385619
0.140332159	8.191129658
-0.652076697	1.396427676
-0.692332598	4.11063985
-0.667251781	6.353994742
0.061400545	0.232334134
-0.397831184	3.476900339
-0.496115029	3.568542192
-6.781359714	-6.575104428
-1.139930261	-0.319003557
7.321928095	-6.304820237
-0.112246725	4.039801057
0.135524158	5.089685917
0.065649679	4.003678494
0.069274847	4.244090789
-0.948891016	3.375553751
-0.202816883	1.185472706
-0.217591435	1.213132377
2.052241981	3.026120991
1.736965594	-1.190410892
-1.938599455	-0.089593961
-6.491853096	-6.719857736
0.441854947	4.890521225
4.321928095	-7.804820237
0.144389909	-2.323733722
-0.403687615	6.240104383
-0.325575872	-0.177287506
1	-3.336501268
0.751475221	5.218213673
-0.723790205	-0.237566968
-2.584962501	-5.351374939
1	-4.14385619
0.81575959	6.240010296
0.584962501	-5.351374939
1.459431619	-3.91414038
1.103380343	6.433354791
0.040907944	2.196776744
0.137503524	-1.668213832
-1.415037499	-2.766412439
7.906890596	-6.012338987
4.906890596	-7.512338987
0.099535674	-0.786733431
-4.321928095	-7.804820237
-1.27085391	-0.484867279
0.485426827	-3.079214681
0.701959144	1.896947941
-0.357229146	3.302942708
-0.449575918	4.214835179
-0.494380931	4.332955019
-1.310340121	-1.34482994
2.509861045	-0.865363711
-7.491853096	-6.219857736
-6.129283017	-6.901142776
1.169925001	-4.058893689
0	-3.64385619
0.536501012	0.418810182
-1.023370301	5.710964872
-0.061001072	2.620264023
-0.176098769	2.599011304
0.453815827	2.453416443
-0.173370656	2.887843984
0.584962501	0.321050403
0.434182549	0.606658086
-1.874469118	0.126268383
0.654225163	-0.386006271
-1.611434712	-1.668213832
-0.473790087	2.268995886
-0.359281509	1.466521902
-1.904559101	2.483349043
0.123492665	6.520358005
-0.751381284	4.617530825
0.119060919	4.173897484
0	-4.64385619
0.72537762	0.947651311
0.324962155	1.088480496
4.321928095	-7.804820237
-0.736965594	-4.690410892
-1.523398172	2.699043478
-0.796466606	-1.997695373
-2.415037499	-0.851374939
1.044394119	-1.12165913
1.115477217	-3.50115508
-0.658963082	-2.066447135
-1.358596805	0.693653695
-0.609169361	2.28278031
0.124319246	3.958431472
-0.006426269	1.166711867
0.530514717	-2.20867383
-0.310340121	-1.84482994
-0.714473234	2.798188815
-1.02713613	1.173492623
0.485426827	-4.079214681
-0.173648087	-0.130767391
1.023083613	-1.178118073
-2.867896464	-1.887979863
-0.092029138	0.785862672
-0.717436429	3.194642289
1.129283017	-2.079214681
-2	-4.64385619
-6.906890596	-6.512338987
-0.231499916	5.31620723
0.174591701	4.215754234
1.242360838	-0.665123766
2.378511623	-2.132672283
3.906890596	-2.105448391
-0.388975203	2.161656209
-0.55606149	5.59995884
-0.415037499	-3.266412439
-0.125530882	-3.12165913
1.523561956	-1.297112711
0.874469118	-0.62165913
0.61533615	0.218400737
-0.755017885	4.734357022
-0.828905404	4.039723191
0.930875639	3.239434145
0.043223576	3.060750182
-0.439735486	3.986462905
-0.169925001	-3.558893689
-0.057835189	2.854703222
-0.754479558	0.766806591
0.096817453	3.135871568
7.022367813	-6.454600378
-0.263034406	-3.190410892
0.243359043	2.622481574
0.476305437	2.003687465
-1.167294745	1.455491021
-0.570748642	-0.271019028
-0.360798118	4.680563739
-2.02897028	4.936682989
-0.847996907	-1.312967141
0.508464363	-0.239876889
0.183821228	1.612961351
-0.772835551	2.487395423
1.509013647	0.396052853
-0.348664477	0.649417122
0.567040593	-1.605448391
0.425925815	0.198463338
0.903784685	-1.237767537
-0.076470826	2.348575534
-0.107276736	1.564600287
7.491853096	-6.219857736
6.491853096	-6.719857736
-0.878009476	2.326530009
0.253756592	1.883901543
0.281513826	1.996746611
-0.266886731	1.036481636
-0.537488483	2.198535239
-0.237851685	4.952321977
-0.272830496	4.999858182
-0.262682572	4.904282624
-0.25400544	4.730480708
-0.224372785	5.168769921
-1.153474481	-0.452409105
1.152003093	-2.897929642
-0.016652825	5.493431173
-0.115477217	-2.00115508
-0.214093595	4.101626522
-8.276124405	-5.827722082
-0.906016853	3.761893484
-0.247927513	-0.519892433
1.437203523	3.856105285
0.133266531	-0.623026614
0.597035333	2.134441741
0.833883737	2.143773086
0.078002512	-2.434929932
0.078002512	-2.434929932
-4.906890596	-7.512338987
-0.511113471	0.995404838
-0.893084796	0.857968644
0.594378726	3.715379311
0.010683082	3.892866812
0.057322772	4.199387662
0.005065055	3.095078269
-1.010441747	4.551362655
-0.157100961	0.254873253
0.656855419	2.367566104
-0.893084796	-3.38995887
0.618909833	-1.527046351
3.632268215	-2.505793987
-0.19822611	0.466484121
4.906890596	-7.512338987
0.099535674	-0.786733431
-0.754887502	-0.681449938
0.106915204	-0.88995887
0.756728849	-1.40751077
-0.386387295	1.610033389
1.210359866	0.387588498
1.665580961	0.046915286
-0.544320516	0.79822907
-0.847996907	-2.897929642
1.662965013	-3.227411183
0.459431619	-2.41414038
-0.254762668	3.872618666
1.016873819	0.273971656
7.569855608	-6.18085648
0.854802084	2.338133704
0.545133073	2.100385561
-0.231173307	2.927057684
0.179867805	1.358967049
0	0.678071905
0.884522783	-2.50115508
2.081941614	1.663901158
0.480293691	2.096136543
-0.198836258	5.832501261
-0.519219538	1.377304812
-11.20457114	-4.363498713
-0.537656786	0.164131014
-1.845097016	2.975659844
-0.30727069	3.623521321
-0.594016723	5.608438817
-0.709159277	4.868070384
-0.148863386	1.276065554
-0.029703594	2.765458302
-0.148729819	3.478995594
-0.457594098	4.991145865
1.409031948	2.431347191
-0.453307516	1.70691888
-6.781359714	-6.575104428
0.433066915	2.529779309
-0.133901287	2.07055288
0.311201688	0.266632157
1.044092584	1.058099192
-0.263034406	0.201906531
2.072642193	3.409273195
2.015871393	2.76922097
2.213734061	3.625402169
4.321928095	-7.804820237
-0.101502203	3.017919709
10.03617361	-4.947697478
0.459431619	0.045291238
-2.86941589	-1.508708527
0.385891154	-0.222091922
0.192645078	3.054237138
0.066121766	4.342673656
0.469921406	3.112704953
0.169925001	1.441106311
0.134409033	1.637667448
-0.403555935	6.144292473
-0.369394611	6.039690322
0.736965594	-0.989971174
-0.060882242	1.244565926
-0.283792966	1.021602249
0.152003093	1.356957861
-0.35570336	3.211715132
-1.051614108	1.120355603
0.469485283	-1.70867383
-0.162271429	0.414559448
0.837349662	1.862281483
0.148929069	4.765998699
-1.178705887	0.453291394
0.139274789	0.63523457
-0.036836768	0.232543189
7.781359714	-6.075104428
1.501774821	2.562358441
-0.027480736	-0.929676103
-0.084651641	3.839338799
0.584962501	-0.263912098
0.108040629	4.01379047
-0.101213839	4.672951642
0.048179326	4.669676049
-0.445112636	5.276970706
0.33889642	2.997267235
-0.310319851	4.676210662
-0.075948853	-0.396428398
-1.368583823	5.903073079
-1.501033416	5.844330382
-0.553935605	2.187700464
-0.171766348	-0.11502952
0.799619273	2.302847907
0.667513713	2.918719357
0.257450288	3.308236194
0.049105472	3.320275761
0.584962501	-5.351374939
-4.079727192	-1.144560975
-0.978215584	3.364887855
-0.682017185	4.297065245
-0.697712677	5.767383641
-0.628687664	6.143939731
0.214594051	0.19136129
0.455679484	-1.286733431
2.736965594	-3.690410892
-0.833473575	2.670726054
-0.024247546	0.835873133
0.107412942	3.425265334
0.138130919	3.939923324
1.014075185	-0.464393255
-0.298443084	5.595477772
-0.261039962	5.208617404
0.610588308	0.200596776
0.843274496	-1.1347561
0.231325546	-2.004631461
-0.251538767	-2.125769383
-1.432959407	-2.605448391
-0.058893689	-2.029446845
-0.064057314	4.134686788
0.902263198	3.968407292
0.476865872	3.773241597
3.584962501	-3.851374939
5.64385619	-7.14385619
1.142019005	-1.214865692
0.510079636	5.757752304
0.576515422	6.837310741
0.681902375	7.122573186
-1	1.804511042
-1.551700047	1.002358553
-1.26710407	-0.127661105
5.321928095	-7.304820237
-0.341603458	4.914962825
-0.344701304	5.257265312
1.531523242	-0.096734855
1.517399217	-0.212731239
0.41133733	2.492549813
-0.816075108	5.472403094
-0.81148938	4.569243422
0.390789953	0.043391883
-0.787033425	5.98776666
-1.022013858	3.645227869
0.349283054	1.773959321
-0.589211974	1.47092876
-1.476612778	1.105677455
-1.759432934	2.036760177
4.321928095	-7.804820237
5.906890596	-7.012338987
0.11321061	-0.97254104
0.340655303	1.163096082
0.362570079	0.04522349
-0.093109404	-1.105448391
-1.787834321	3.414967897
-1.583982742	3.087714395
-0.203930885	1.035538081
-1.381103856	3.924746651
-1.495646669	1.825066334
-0.086156644	3.122029663
0.062611977	1.341646109
-2.385929095	2.1490212
-0.977351261	5.171248928
0.064155919	5.647965033
5.906890596	-7.012338987
-6.491853096	-6.719857736
-0.246160587	-1.094511141
-0.0725125	1.577275403
0.887525271	2.028725136
3.459431619	-4.91414038
-0.416138373	2.919564093
5.906890596	-7.012338987
0.15474847	3.317688564
-7.714245518	-6.108661526
-0.012454999	3.381962038
0.03562391	-1.30411614
6.321928095	-6.804820237
0.054447784	-1.91619258
-0.321928095	-1.897929642
-0.106915204	-2.88995887
-1	-2.236965594
-0.125600982	4.162937162
-0.281412935	3.326573013
-0.415037499	3.108626993
0.491853096	1.40942528
1.364053571	-0.206941902
0.442962845	3.320776627
0.368470681	3.056078989
-0.932885804	-2.717981669
-1.702672417	1.426648539
-1.303942349	0.828293947
-1.392317423	-0.362734978
0.481902804	2.638754364
0.22532904	4.355267026
-7.022367813	-6.454600378
-0.719892081	0.973477693
0.043160763	2.226347132
0.169212383	2.839493694
0.137503524	-3.253176333
0.589138294	12.09188617
1.002689088	1.923577544
-1.137863792	2.432870347
-0.418501355	1.265834206
1.525091045	-0.523758663
1.629473774	4.82998466
0.454565863	-1.661685756
-0.362570079	-3.655216228
4.906890596	-7.512338987
-0.200593831	0.956286613
-0.339157534	3.67038082
-1.765534746	-0.26923572
-1.21122186	4.281426861
0.101879614	-1.235364378
-0.407175382	2.405221552
-1.19401062	2.319471334
-0.933402251	1.878127371
-1.321928095	-3.982892142
0.624960569	0.043663526
0.539158811	-0.374276784
0.26107289	2.010242211
0.037113173	1.636795242
1.431339312	0.701170086
0.361527444	5.708709821
0.686064696	1.512957349
-0.058388025	3.027389516
-0.767419391	3.138597198
-0.703758549	3.091727377
-1.158429363	-0.257286586
-0.736965594	-3.690410892
0.43749695	3.816875435
-0.289506617	-3.32917788
0.885911571	3.482094179
1.015019517	2.611846418
1.038959029	2.973655408
-0.273018494	-1.922384442
-4.321928095	-7.804820237
-0.067563284	0.579750011
-0.736282132	5.905747758
1	-2.443416472
-1.056583528	0.528291764
-0.247927513	-2.519892433
-4.638073837	-1.002891176
-0.755196331	1.168370203
0.107694197	2.457114821
0.039170597	2.143913434
0.490635118	2.227170212
0.472500653	3.571104596
0.263034406	-4.190410892
0.543894251	3.031102959
0.707549106	2.800030783
6.321928095	-6.804820237
0.452342851	3.523362842
-0.235533776	4.504577835
-1	-6.14385619
-3.310787537	-1.288022703
-2.382840144	2.869491977
-2.186120862	2.996098701
-3.087462841	-4.100124769
-1.510484285	-0.160693593
-5.64385619	-7.14385619
0.93648677	6.599997476
0.879705766	-0.560147117
-0.152404902	8.110010854
-0.252542032	0.327904877
5.321928095	-7.304820237
0.033947332	-1.234565101
0.874469118	-1.62165913
4.906890596	-7.512338987
1	-1.056393349
1.030526676	2.810986363
0.485426827	0.965179438
0.811927652	-0.746039268
0.341720822	1.906382588
-0.031026896	0.895219214
-1.29083509	5.270103356
7.022367813	-6.454600378
-1.160682849	1.379428731
2.378511623	-3.132672283
7.845490051	-6.043039259
6.491853096	-6.719857736
-4.321928095	-7.804820237
-0.870625346	4.055899083
1.025763096	2.248403725
0.925999419	-2.858928386
1.260896227	4.501305978
-0.094068324	1.542729325
-0.720776356	1.580718133
-2.003821711	4.50143788
-1.205939193	4.214141976
0.252098928	4.075584397
0.184083064	2.434027279
0.295100634	3.543983848
6.491853096	-6.719857736
-0.172702086	0.877123081
0.597705631	2.693915615
-1.490747159	-0.040501615
0.443537542	2.840007427
0.394859617	2.893423622
-1.438121112	2.729840395
1.618437205	0.315109532
8.366322214	-5.782623178
-0.417102918	2.011778496
-0.357704324	2.386745014
-2.115477217	-2.41619258
-1.378511623	-3.632672283
-0.475242133	2.638158996
0.27237227	0.759116486
-0.647246779	0.767230041
-0.401862111	2.50835958
-1.124194435	2.869525742
1.711874613	-0.929937888
0.092051083	3.515911518
-0.018983103	2.925968196
-0.161653263	2.241101463
-0.243084816	1.53838215
0.650364976	1.526816349
0.888354644	-0.645090016
1.183711953	0.28784979
0.341036918	-2.566447135
-0.367952363	4.215194912
1.115477217	-3.50115508
4.321928095	-7.804820237
0.25334101	2.290169237
0.031356919	4.434543037
0.608596157	3.454857755
6.321928095	-6.804820237
4.906890596	-7.512338987
1.944858446	0.235463629
0.457603803	2.072785745
0.363748271	1.625480787
0.460634366	1.354645318
-0.770567827	4.709374429
0.019072733	2.404599166
-0.088484942	1.775425713
0.273302741	1.944006293
-0.53287399	0.762132157
6.906890596	-6.512338987
-0.874469118	-3.62165913
0.994217647	1.819036919
0.215904294	8.629159963
0.259796032	1.286941726
0.550197083	1.245952196
0.109624491	-1.341116431
0.013939191	0.049613933
0.852786351	3.702889841
5.321928095	-7.304820237
1.086414752	1.239201189
-0.078907712	2.592814359
0.06871275	-0.25194781
-2.222392421	-3.947697478
-0.910383806	2.592695427
-0.422379475	0.767005892
-1.023535514	1.115839081
-1.533978572	0.708095597
-0.354182294	0.378725008
-1.478047297	-2.097477619
0.298081353	-0.564078176
0.175086707	-0.602116526
-0.765610046	3.877220633
-0.080170349	-1.474487998
-0.121745272	0.729899402
-0.205388566	2.767177123
0.15497466	0.033543982
0.128897733	0.162059663
0.404168114	2.316451082
5.906890596	-7.012338987
-8.6794801	-5.626044235
-0.661831264	-0.246851367
-1.482202926	1.419173368
0.107095665	2.567038578
1.5334322	-1.629212576
-0.457348304	0.562097886
-0.315501826	-0.994252181
-1.152003093	-2.897929642
-0.819427754	-2.146679471
-1.256339753	-1.845761312
-3.347923303	0.811465175
-1.480515116	5.444022737
-1.287323609	4.494661199
-0.260151897	1.869924051
-5.321928095	-7.304820237
-0.450840295	4.901800403
-0.4639471	-1.553901645
0.091469046	1.505166142
-0.143330791	2.617633765
-0.404024507	2.597075053
0.08865762	0.55021974
0.403987292	2.679670973
-2.680841151	3.807700056
-8.22881869	-5.851374939
0.337034987	-2.227411183
-0.261045853	4.653457487
-0.14255403	3.408988107
-0.192712542	4.836744204
-0.988859442	2.194869439
-9.049848549	-5.44086001
-4.321928095	-7.804820237
0.368387406	-0.678302773
-0.674789321	1.796826279
-0.146841388	2.324382268
-0.04421441	4.112113735
-0.023999319	3.96619597
-0.149219827	3.828428357
-0.299560282	3.850219859
6.64385619	-6.64385619
-0.218640286	-0.753176333
0.527629326	-0.113254986
1.250543462	1.161324631
1.010569242	0.948891272
1	-4.558893689
8.491853096	-5.719857736
0.653675251	0.04053344
0.649092838	-0.859878152
0.234465254	-2.439160722
-0.23278019	1.478158454
4.906890596	-7.512338987
-0.872620694	-0.057798724
-0.31817596	5.305580287
-0.244832444	4.979401912
-0.307775018	5.152083012
-0.593209861	2.321633725
-0.2410081	0.636519197
0.196641969	5.407569945
1.010673502	1.519692044
1.388912429	2.708811508
1.476813697	0.001441254
-1.840521786	0.702669458
0.542527234	0.735931884
0.872994723	0.268374603
0.405256478	3.160542838
0.392217128	2.972212552
-0.191492714	3.912346064
-0.125195489	2.904570863
0.546282033	3.60656475
0.313042132	3.34555489
0.187883825	4.718042807
0.129002916	7.720067958
1.423211431	-1.472818856
0.321928095	-1.67553722
1.006049045	0.753986096
5.906890596	-7.012338987
-0.187085553	-0.5279456
0.959358016	-0.994252181
0.082035769	0.951750546
0	-4.321928095
-1.050040682	0.290555088
-0.337034987	-0.227411183
0.17959365	1.884732488
0.283031314	1.162995385
-0.232068481	4.594358952
-0.162560191	5.123486655
-2.560714954	-2.041570618
-0.043068722	-0.577927709
0.512024991	3.828902164
0.487594664	3.491724845
-0.807354922	-3.240178729
-0.105070194	2.383093497
-0.017522827	2.304484438
0.485426827	-3.079214681
-0.688798312	3.226063775
-0.672274061	3.2391753
-0.601450624	1.684775119
5.321928095	-7.304820237
0.085492725	4.076609814
0.189824559	0.45105609
-0.672835257	0.801085895
-0.623851514	0.598806905
-0.105794664	1.517565599
0.094907247	4.665692279
-0.196206133	3.362639497
-0.106371304	1.9753835
7.129283017	-6.401142776
0.152882517	3.960062075
-0.018859027	1.613500837
-2.137503524	-0.445821411
-0.06800235	3.595938235
0.187278568	2.107994577
10.3553511	-4.788108736
0.793755733	6.281475787
0.675445305	6.335692435
0.103731404	4.692833612
-1.378511623	-3.632672283
0.758378901	0.476800247
1.485426827	0.944347275
6.321928095	-6.804820237
0.806127619	3.151525042
-0.173247475	4.588062883
-0.354889342	5.483050461
1.638325726	1.020796724
2.27462238	-0.552348689
-5.906890596	-7.012338987
0.337373167	7.753273334
-0.093109404	0.309589108
0.283217614	3.79007425
0.326516132	3.739780204
0.277942613	3.95863949
-3.321928095	-8.304820237
-4.906890596	-7.512338987
0.169925001	-3.558893689
-1.075767508	2.151415407
0.64385619	0.678071905
-9.076815597	-5.427376486
1.321928095	-4.982892142
-0.566466157	1.933997638
-1.125530882	-2.62165913
0.096507981	2.717280756
-0.531452445	4.208709821
-0.511452202	4.002038867
8.569855608	-5.68085648
0.82563776	4.265816468
-0.022720077	-0.655216228
-0.506959989	1.945014159
1.584962501	-1.944484344
-0.878536488	1.126328932
-1.163322267	1.127629502
-2.041552489	0.643706596
