GeneNames	log2FC	qvalue
csde012411.1	2.056155418	0.349077467
csde015833.1	-0.619558369	0.354655528
csde023772.1	-0.495421886	0.358793696
csde003659.1	-0.8131921	0.366421204
csde028593.1	0.477996848	0.372867335
csde024008.1	-1.754551185	0.37867662
csde015437.1	-0.473728656	0.382300509
csde018327.1	0.430742572	0.387391777
csde000478.1	-1.211691915	0.392111537
csde009349.1	-0.543985269	0.396406067
csde025738.1	-0.984115476	0.400721103
csde004503.1	0.184332345	0.404845429
csde033483.1	-0.836687384	0.409179137
csde027475.1	0.338848321	0.414463295
csde008736.1	0.575689732	0.419612738
csde006845.1	-1.448398914	0.425795289
csde005524.1	0.147468668	0.43138497
csde007176.1	-0.398143979	0.438893862
csde003017.1	-0.430582515	0.445356747
csde007998.1	-0.521160968	0.449972907
csde023945.1	-0.404642811	0.455033676
csde000377.1	1.631728706	0.458223362
csde027958.1	-0.395841852	0.464062492
csde032728.1	0.787233879	0.468146573
csde008132.1	-2.016879442	0.472397588
csde020934.1	-0.518662102	0.479812595
csde028243.1	-0.42514073	0.484751936
csde005520.1	0.804508524	0.490776213
csde004397.1	-0.83555887	0.494215724
csde020939.1	-0.388750839	0.500414617
csde025649.1	-0.457010755	0.505015221
csde008541.1	-1.40363384	0.509635148
csde033865.1	-0.572047529	0.514247631
csde032705.1	-0.364837157	0.518430921
csde026135.1	-0.3208815	0.522768226
csde031502.1	-0.205416003	0.528044613
csde014158.1	-0.352615196	0.533834457
csde017403.1	-0.459322985	0.53745117
csde001531.1	-0.311614384	0.540534209
csde009757.1	-0.212781847	0.545398887
csde033089.1	0.618227291	0.548767298
csde020181.1	-1.588976746	0.552224642
csde023135.1	0.507699909	0.555151072
csde007534.1	-0.837671542	0.55919284
csde010911.1	-0.7259901	0.564675568
csde011012.1	-0.305075303	0.571249148
csde001815.1	0.121491081	0.577198513
csde011761.1	-0.60409359	0.5804598
csde027521.1	-0.370890097	0.583921061
csde021730.1	-0.387132475	0.588197983
csde004388.1	0.604626533	0.592010192
csde022079.1	-0.657342184	0.598050566
csde033508.1	0.319765966	0.603391421
csde029983.1	-0.527308992	0.609156794
csde009650.1	-0.380820819	0.613209252
csde014774.1	0.60727052	0.61797333
csde024108.1	1.019628292	0.622693531
csde003192.1	0.43359247	0.627864762
csde019322.1	1.544854429	0.633092345
csde024311.1	-0.895812035	0.637310088
csde000874.1	0.337389289	0.640949766
csde009393.1	0.420353166	0.647475892
csde029253.1	-0.599888647	0.653337134
csde022781.1	0.380253824	0.656138758
csde014293.1	0.563333028	0.659519576
csde025296.1	0.482008885	0.664840144
csde024637.1	-0.472554586	0.668645393
csde021633.1	-0.237632888	0.672218553
csde031454.1	-1.068456492	0.675607331
csde013583.1	-1.061197789	0.679702305
csde027651.1	1.308828216	0.68271621
csde010716.1	-0.352394103	0.6844055
csde004444.1	-0.352451219	0.690325338
csde028472.1	-0.337948974	0.69267099
csde013134.1	-1.645856517	0.694598228
csde013154.1	0.586037263	0.697470446
csde020646.1	-0.845797621	0.699879301
csde009458.1	-0.278730018	0.703307406
csde020474.1	0.782402469	0.709493216
csde001994.1	0.699116214	0.713736916
csde023083.1	-1.507302402	0.717636305
csde029740.1	0.448993269	0.721098817
csde029431.1	-0.197774515	0.724870518
csde000647.1	-0.332833581	0.728574901
csde018900.1	-0.921680094	0.731871062
csde033019.1	-0.476045115	0.733730141
csde006322.1	-0.364563641	0.737423608
csde000423.1	0.447693542	0.741616292
csde026338.1	-1.734262911	0.74595588
csde017159.1	-1.73828344	0.749104739
csde008021.1	0.837532067	0.751595887
csde025985.1	-0.641224747	0.755107968
csde010018.1	-0.321238532	0.758365246
csde000275.1	-2.635126444	0.762221331
csde012741.1	0.299678018	0.765194797
csde029335.1	0.331606224	0.767418602
csde023233.1	-1.335966794	0.770852357
csde008834.1	0.333452046	0.773220694
csde005231.1	-0.208991405	0.775554254
csde009931.1	-0.402676232	0.778725645
csde008392.1	-0.297921547	0.78134959
csde024761.1	-0.687014307	0.783515463
csde011199.1	-0.408783697	0.788183882
csde024481.1	-0.135046394	0.791046967
csde008557.1	0.871947244	0.793139046
csde033340.1	-0.152890287	0.796700494
csde002140.1	-0.455801922	0.800645022
csde026811.1	-0.570323953	0.803440216
csde004514.1	0.70156757	0.806173142
csde025736.1	0.133808909	0.809503225
csde004940.1	0.640563839	0.812865444
csde009675.1	-0.381776682	0.81467408
csde027336.1	0.438730253	0.81709411
csde016513.1	-0.293361755	0.820825578
csde005893.1	-0.540074776	0.824849127
csde000297.1	0.31697084	0.829761028
csde033818.1	-1.519761391	0.831300673
csde027674.1	-0.719193727	0.832143174
csde014277.1	0.60855377	0.837166036
csde033885.1	-4.192014593	0.838799075
csde012045.1	0.168942399	0.84256344
csde025255.1	-2.025773923	0.844735068
csde007232.1	-0.259743225	0.847964075
csde014731.1	-2.54031484	0.852099665
csde031593.1	0.254087719	0.855965573
csde021931.1	0.300091667	0.859546248
csde012922.1	-0.378066591	0.861108259
csde033272.1	-0.289718613	0.865123919
csde002243.1	-0.36912579	0.866826373
csde024331.1	-0.638860327	0.869760172
csde027046.1	2.961949568	0.871051493
csde026025.1	-0.222793917	0.873310145
csde002178.1	-0.413082223	0.876301039
csde032860.1	0.860674207	0.878649427
csde030051.1	-2.147826202	0.881669923
csde024488.1	-1.042199939	0.885881538
csde007594.1	-0.428749992	0.888242585
csde018097.1	-2.68976027	0.891930886
csde015829.1	1.712883466	0.894781786
csde014740.1	0.381246669	0.896795077
csde019293.1	-1.038866768	0.899795496
csde022594.1	0.674789286	0.901365954
csde020907.1	-0.556612596	0.905502938
csde016992.1	2.952510625	0.907036021
csde008175.1	-0.565369665	0.910783992
csde008910.1	0.781321985	0.911578216
csde024769.1	-0.726052735	0.915270665
csde017985.1	-0.399100988	0.916331637
csde031985.1	-1.212733133	0.922080166
csde026257.1	-0.53549116	0.925249504
csde033018.1	-0.219794292	0.926200159
csde030741.1	0.523461089	0.927216235
csde013133.1	-1.581173594	0.930052339
csde005559.1	-0.691308875	0.932305548
csde008518.1	0.150343702	0.934945488
csde022345.1	-0.48220607	0.936723789
csde024902.1	2.405829194	0.937160589
csde012427.1	-0.072418333	0.938217625
csde000501.1	-1.972389913	0.938308151
csde018838.1	-0.359508837	0.940208167
csde002562.1	-0.812957122	0.941784879
csde033380.1	0.585786957	0.943958279
csde016965.1	0.381711503	0.94645087
csde002882.1	0.579257094	0.95039611
csde006119.1	-0.19674788	0.953526407
csde005306.1	-0.3799809	0.955165004
csde024428.1	-0.880834503	0.955628582
csde025700.1	-0.241311469	0.956482062
csde003742.1	-1.484922279	0.958486714
csde016747.1	-0.285933618	0.961165283
csde018724.1	-0.49228891	0.962704771
csde004855.1	0.251506672	0.96401266
csde002815.1	-0.329502109	0.966328957
csde033271.1	0.113821091	0.968710792
csde030568.1	-0.205769999	0.971486194
csde012060.1	1.327372663	0.972860885
csde016029.1	1.817293626	0.974099586
csde030640.1	0.195824195	0.97563551
csde019787.1	0.327091719	0.977108623
csde018427.1	-0.343140479	0.979772551
csde027851.1	0.125386649	0.982554016
csde031101.1	0.195217807	0.984746608
csde032588.1	0.795059312	0.985591797
csde024276.1	-0.065865067	0.98724107
csde001951.1	-0.31189073	0.987611507
csde019005.1	-0.991564442	0.989053851
csde029932.1	1.967380538	0.991334693
csde031019.1	-0.469525322	0.993245671
csde017267.1	-0.755644624	0.99598385
csde025903.1	1.203889396	0.996931608
csde005042.1	-0.319995659	0.998797347
csde024183.1	-0.963105385	0.999990915
csde005996.1	0.256480479	0.999993071
csde002427.1	3.973958129	0.999993071
csde027706.1	0.397766271	0.999993071
csde026549.1	0.366261471	0.999993071
csde020024.1	0.897333458	0.999993071
csde006635.1	1.798307632	0.999993071
csde030018.1	-0.187411029	0.999993071
csde032405.1	-0.26383842	0.999993071
csde014132.1	0.560716658	0.999993071
csde032141.1	1.120408015	0.999993071
csde025165.1	-0.160045283	0.999993071
csde017733.1	-0.39149822	0.999993071
csde009895.1	0.231547099	0.999993071
csde020518.1	-1.455445293	0.999993071
csde001494.1	-0.122332006	0.999993071
csde029389.1	0.541792179	0.999993071
csde003899.1	-0.316992367	0.999993071
csde027395.1	2.551029633	0.999993071
csde026879.1	1.709853014	0.999993071
csde028767.1	-0.315741007	0.999993071
csde033541.1	-0.2438217	0.999993071
csde032234.1	0.303236772	0.999993071
csde026193.1	1.693576291	0.999993071
csde029029.1	-1.587670328	0.999993071
csde009063.1	0.496778593	0.999993071
csde023113.1	-0.660878367	0.999993071
csde030781.1	1.268411154	0.999993071
csde003830.1	-0.210642536	0.999993071
csde029727.1	-0.899339537	0.999993071
csde004267.1	-0.722258387	0.999993071
csde014520.1	-0.293122027	0.999993071
csde010040.1	0.198850823	0.999993071
csde020354.1	0.268928495	0.999993071
csde024223.1	-0.43590413	0.999993071
csde026557.1	1.237058745	0.999993071
csde031570.1	-0.142702631	0.999993071
csde000249.1	0.158195522	0.999993071
csde005330.1	-0.355249015	0.999993071
csde015297.1	-0.15659366	0.999993071
csde033338.1	1.605775949	0.999993071
csde033042.1	0.72785789	0.999993071
csde019377.1	-1.281933608	0.999993071
csde028785.1	-0.243581808	0.999993071
csde007943.1	0.325438874	0.999993071
csde005530.1	-2.928559986	0.999993071
csde026711.1	-0.355127492	0.999993071
csde027165.1	-0.589805261	0.999993071
csde015898.1	-2.368776404	0.999993071
csde008908.1	1.053108614	0.999993071
csde017043.1	-0.825040833	0.999993071
csde020821.1	1.499968375	0.999993071
csde002979.1	-0.444760909	0.999993071
csde002324.1	-1.301899687	0.999993071
csde029953.1	-0.548085077	0.999993071
csde005957.1	-0.152795009	0.999993071
csde011296.1	-0.798928351	0.999993071
csde018093.1	-0.44426444	0.999993071
csde019612.1	-0.322081598	0.999993071
csde031666.1	0.128428395	0.999993071
csde029614.1	1.089304956	0.999993071
csde007381.1	0.252501603	0.999993071
csde032993.1	-0.186688371	0.999993071
csde020224.1	-0.17748052	0.999993071
csde014726.1	-0.247145117	0.999993071
csde022641.1	0.3081124	0.999993071
csde018950.1	0.276103607	0.999993071
csde032418.1	-0.335969216	0.999993071
csde005540.1	-0.218661782	0.999993071
csde018309.1	-0.395045419	0.999993071
csde019643.1	-0.182925017	0.999993071
csde013177.1	-0.321768067	0.999993071
csde021461.1	0.246163512	0.999993071
csde007643.1	0.175635036	0.999993071
csde031474.1	-0.333502122	0.999993071
csde033496.1	0.190446735	0.999993071
csde015843.1	-0.391067502	0.999993071
csde020394.1	0.400746243	0.999993071
csde001461.1	-0.245425862	0.999993071
csde008549.1	0.314232162	0.999993071
csde014919.1	-0.103050135	0.999993071
csde012634.1	-0.240922838	0.999993071
csde005122.1	-0.486962103	0.999993071
csde014814.1	0.139615165	0.999993071
csde001227.1	-0.943748971	0.999993071
csde027139.1	-0.17272386	0.999993071
csde032991.1	0.278021694	0.999993071
csde008075.1	0.153025774	0.999993071
csde015542.1	-0.205524988	0.999993071
csde016058.1	-0.220972849	0.999993071
csde033515.1	-0.792483615	0.999993071
csde018636.1	-0.182177168	0.999993071
csde029052.1	-0.995233233	0.999993071
csde003042.1	-0.492826027	0.999993071
csde012209.1	0.157298013	0.999993071
csde010069.1	2.413306937	0.999993071
csde032386.1	-0.604750417	0.999993071
csde028044.1	0.442820164	0.999993071
csde030339.1	0.962682958	0.999993071
csde010332.1	-0.198449088	0.999993071
csde010686.1	-0.324642192	0.999993071
csde006863.1	0.16554924	0.999993071
csde015886.1	-0.271316534	0.999993071
csde013049.1	-0.874326735	0.999993071
csde012821.1	-0.274292705	0.999993071
csde011327.1	0.308769831	0.999993071
csde014361.1	0.135467663	0.999993071
csde000867.1	0.887589591	0.999993071
csde018988.1	-1.880939415	0.999993071
csde029276.1	1.464114903	0.999993071
csde024591.1	-0.130899173	0.999993071
csde026853.1	-0.253662328	0.999993071
csde033554.1	0.197502871	0.999993071
csde014123.1	0.552252073	0.999993071
csde031523.1	-0.729971568	0.999993071
csde017686.1	-0.352211694	0.999993071
csde002362.1	-0.207677144	0.999993071
csde029649.1	0.268821646	0.999993071
csde008591.1	-0.170816795	0.999993071
csde031475.1	-0.152970953	0.999993071
csde029040.1	0.264019846	0.999993071
csde024750.1	-0.237807417	0.999993071
csde006146.1	-0.475695026	0.999993071
csde006407.1	-0.212032018	0.999993071
csde016868.1	-0.192929213	0.999993071
csde007462.1	0.123924511	0.999993071
csde018338.1	1.223335281	0.999993071
csde027587.1	-0.428191079	0.999993071
csde009734.1	-0.562850623	0.999993071
csde000250.1	-0.423386055	0.999993071
csde005362.1	-0.498291461	0.999993071
csde002020.1	-0.450440824	0.999993071
csde001147.1	0.162648893	0.999993071
csde022366.1	-0.377048748	0.999993071
csde033421.1	0.285816204	0.999993071
csde005975.1	0.244368512	0.999993071
csde010029.1	-0.174290568	0.999993071
csde002805.1	1.165294178	0.999993071
csde031634.1	-0.185945239	0.999993071
csde014734.1	-0.514368476	0.999993071
csde031356.1	0.652799926	0.999993071
csde014072.1	-0.581031393	0.999993071
csde018588.1	-0.71529944	0.999993071
csde016081.1	0.109265783	0.999993071
csde020380.1	-0.264292682	0.999993071
csde013812.1	-0.691488263	0.999993071
csde013904.1	0.22471123	0.999993071
