GeneNames	log2FC	qvalue
csde008151.1	0.187013242	0.999993071
csde009513.1	-0.335545446	0.999993071
csde020015.1	0.119553874	0.999993071
csde000716.1	0.085075427	0.999993071
csde003611.1	-1.069390219	0.999993071
csde023520.1	-0.730312256	0.999993071
csde032192.1	0.11985112	0.999993071
csde027490.1	-0.062586253	0.999993071
csde011842.1	-0.096722258	0.999993071
csde024889.1	-0.063897195	0.999993071
csde027609.1	0.756632483	0.999993071
csde012459.1	-0.169423639	0.999993071
csde003203.1	0.128614382	0.999993071
csde011330.1	0.192257014	0.999993071
csde016412.1	-1.235435189	0.999993071
csde009219.1	-0.743400331	0.999993071
csde014940.1	-0.049942251	0.999993071
csde027896.1	-0.12118642	0.999993071
csde019254.1	0.210019468	0.999993071
csde001636.1	-0.093432289	0.999993071
csde031684.1	-0.116500946	0.999993071
csde000469.1	-0.188555328	0.999993071
csde004149.1	0.180644434	0.999993071
csde006006.1	-0.141514956	0.999993071
csde027203.1	-0.843170191	0.999993071
csde020833.1	0.096053039	0.999993071
csde019729.1	-0.141164962	0.999993071
csde028132.1	-0.155888378	0.999993071
csde019424.1	-1.202394381	0.999993071
csde027067.1	-0.246078904	0.999993071
csde026084.1	-0.42515455	0.999993071
csde006674.1	1.093593414	0.999993071
csde025237.1	-0.338211003	0.999993071
csde032058.1	-0.501717274	0.999993071
csde006442.1	-0.621297511	0.999993071
csde028815.1	0.148658095	0.999993071
csde031883.1	-0.350788607	0.999993071
csde005606.1	0.070097935	0.999993071
csde012686.1	-0.372855536	0.999993071
csde027096.1	-0.069774964	0.999993071
csde033145.1	1.278039294	0.999993071
csde002435.1	-2.02439978	0.999993071
csde017669.1	-1.607087315	0.999993071
csde028808.1	0.489614075	0.999993071
csde034025.1	-1.030332439	0.999993071
csde030577.1	-0.53664552	0.999993071
csde022585.1	-0.194184982	0.999993071
csde004861.1	0.101708412	0.999993071
csde010873.1	2.294210043	0.999993071
csde022257.1	-0.16606752	0.999993071
csde023925.1	-0.189796886	0.999993071
csde031763.1	-0.323724419	0.999993071
csde030189.1	-0.053480452	0.999993071
csde003646.1	0.167871249	0.999993071
csde003150.1	-1.042191597	0.999993071
csde027274.1	-0.034563131	0.999993071
csde015091.1	-0.751270031	0.999993071
csde010975.1	0.085641239	0.999993071
csde030301.1	-1.621473629	0.999993071
csde011571.1	0.222752915	0.999993071
csde008782.1	0.356380268	0.999993071
csde003314.1	0.160893182	0.999993071
csde022590.1	0.122919263	0.999993071
csde005707.1	-1.648892117	0.999993071
csde023266.1	-0.29129879	0.999993071
csde024025.1	0.072264108	0.999993071
csde006602.1	0.105997235	0.999993071
csde013526.1	-0.760007314	0.999993071
csde022906.1	-0.122216762	0.999993071
csde026992.1	-1.026284861	0.999993071
csde008994.1	-0.076417458	0.999993071
csde004154.1	0.063346358	0.999993071
csde032803.1	-0.246034157	0.999993071
csde007035.1	-1.049575575	0.999993071
csde019459.1	0.775994019	0.999993071
csde027352.1	0.125158312	0.999993071
csde012650.1	1.142274571	0.999993071
csde031953.1	-0.060173485	0.999993071
csde023068.1	-0.035171701	0.999993071
csde020673.1	-0.15923471	0.999993071
csde030623.1	-0.263501847	0.999993071
csde023885.1	-0.041812863	0.999993071
csde010504.1	-1.625719583	0.999993071
csde016314.1	-0.049959817	0.999993071
csde014583.1	-0.355446832	0.999993071
csde004645.1	-0.376713393	0.999993071
csde005314.1	0.077902871	0.999993071
csde003855.1	-0.100498715	0.999993071
csde002144.1	0.048947528	0.999993071
csde002953.1	0.295906343	0.999993071
csde028325.1	0.162178382	0.999993071
csde026585.1	0.03825587	0.999993071
csde032117.1	0.117547494	0.999993071
csde009258.1	-0.305885736	0.999993071
csde000792.1	0.120385743	0.999993071
csde024710.1	-0.050728674	0.999993071
csde012123.1	-0.13542958	0.999993071
csde031977.1	0.156088102	0.999993071
csde032781.1	0.229332719	0.999993071
csde024887.1	0.078471996	0.999993071
csde013124.1	0.120028413	0.999993071
csde024173.1	-0.09390533	0.999993071
csde019270.1	-0.640126754	0.999993071
csde022550.1	-0.269009392	0.999993071
csde031421.1	-0.081735669	0.999993071
csde032724.1	0.05390804	0.999993071
csde004915.1	0.033928228	0.999993071
csde023879.1	-0.071384232	0.999993071
csde011241.1	-0.052394245	0.999993071
csde016978.1	-0.049951608	0.999993071
csde019073.1	0.264948742	0.999993071
csde001188.1	-0.838135441	0.999993071
csde000371.1	0.534298385	0.999993071
csde025692.1	0.040407	0.999993071
csde018785.1	0.110890381	0.999993071
csde023382.1	-0.410931578	0.999993071
csde019885.1	-1.030764035	0.999993071
csde016082.1	0.052646688	0.999993071
csde016693.1	-0.622135029	0.999993071
csde010915.1	0.093113685	0.999993071
csde026197.1	0.547109284	0.999993071
csde009985.1	0.084226049	0.999993071
csde018314.1	-0.078525351	0.999993071
csde004719.1	0.078578083	0.999993071
csde028860.1	-0.214705514	0.999993071
csde019810.1	0.135866702	0.999993071
csde014946.1	-0.040521771	0.999993071
csde006931.1	-0.083997748	0.999993071
csde010086.1	0.063917171	0.999993071
csde013643.1	0.569795461	0.999993071
csde031312.1	0.050368741	0.999993071
csde006543.1	-0.266917279	0.999993071
csde007764.1	-0.078702156	0.999993071
csde009943.1	0.19928053	0.999993071
csde029995.1	0.130413403	0.999993071
csde031388.1	-0.149483454	0.999993071
csde029566.1	-0.243732245	0.999993071
csde002051.1	-0.047270462	0.999993071
csde010728.1	0.594179039	0.999993071
csde013196.1	-0.073305965	0.999993071
csde005048.1	-0.071493181	0.999993071
csde002686.1	0.351409026	0.999993071
csde006703.1	0.207422332	0.999993071
csde008788.1	-0.285951937	0.999993071
csde022914.1	-0.385230564	0.999993071
csde009115.1	0.038848573	0.999993071
csde003061.1	0.23218739	0.999993071
csde024975.1	-0.041149589	0.999993071
csde003411.1	-1.018456101	0.999993071
csde003043.1	-0.197565906	0.999993071
csde009432.1	-0.471165898	0.999993071
csde022854.1	0.052184433	0.999993071
csde017553.1	-0.073697716	0.999993071
csde016764.1	-0.424395725	0.999993071
csde025115.1	-0.034659164	0.999993071
csde000194.1	0.288836948	0.999993071
csde008202.1	-0.146495295	0.999993071
csde030477.1	0.62862222	0.999993071
csde016676.1	-0.25848005	0.999993071
csde021208.1	0.263462151	0.999993071
csde013573.1	-0.298177698	0.999993071
csde020832.1	0.160682324	0.999993071
csde022445.1	-0.04483881	0.999993071
csde015504.1	0.04528362	0.999993071
csde017371.1	-0.609362281	0.999993071
csde011120.1	-0.028965449	0.999993071
csde031865.1	0.099863394	0.999993071
csde006830.1	0.300094242	0.999993071
csde009582.1	0.140631997	0.999993071
csde021082.1	-0.27580456	0.999993071
csde016581.1	0.694880278	0.999993071
csde012603.1	0.07249286	0.999993071
csde003718.1	-0.350055281	0.999993071
csde024330.1	-0.069567801	0.999993071
csde016124.1	-0.060150567	0.999993071
csde009255.1	-0.224193108	0.999993071
csde000854.1	-0.222611725	0.999993071
csde022076.1	0.216438739	0.999993071
csde024036.1	0.312535687	0.999993071
csde023713.1	-0.052900869	0.999993071
csde032571.1	0.215095972	0.999993071
csde025873.1	0.263001968	0.999993071
csde011389.1	0.063917998	0.999993071
csde020771.1	-0.022786369	0.999993071
csde002298.1	0.196588711	0.999993071
csde025212.1	0.227120726	0.999993071
csde007767.1	0.133139848	0.999993071
csde021053.1	-0.025920842	0.999993071
csde004954.1	0.129542496	0.999993071
csde029129.1	-0.207961545	0.999993071
csde025698.1	0.061782933	0.999993071
csde016072.1	-0.354037292	0.999993071
csde002240.1	0.697627217	0.999993071
csde024694.1	0.234354021	0.999993071
csde033659.1	-0.10815694	0.999993071
csde025741.1	0.075219117	0.999993071
csde022359.1	0.218738507	0.999993071
csde008809.1	-0.0873308	0.999993071
csde025102.1	-0.051377872	0.999993071
csde019918.1	0.068905315	0.999993071
csde023534.1	-0.013569309	0.999993071
csde009069.1	-0.071392517	0.999993071
csde011796.1	-0.024844675	0.999993071
csde012317.1	0.184822211	0.999993071
csde018071.1	-0.042554375	0.999993071
csde021999.1	0.241168791	0.999993071
csde027628.1	-0.308547797	0.999993071
csde000105.1	0.057929683	0.999993071
csde019605.1	0.369886734	0.999993071
csde021517.1	0.183032957	0.999993071
csde004428.1	-0.21801961	0.999993071
csde001637.1	-0.068239148	0.999993071
csde019892.1	-0.058943747	0.999993071
csde018693.1	0.029450053	0.999993071
csde027472.1	0.191736175	0.999993071
csde025560.1	0.080989272	0.999993071
csde025365.1	-0.022636242	0.999993071
csde012437.1	0.043836	0.999993071
csde027761.1	0.017431064	0.999993071
csde008380.1	-0.020832027	0.999993071
csde001946.1	0.024615885	0.999993071
csde000405.1	0.029788847	0.999993071
csde033010.1	0.079037421	0.999993071
csde025725.1	0.031595187	0.999993071
csde007258.1	0.04087391	0.999993071
csde031817.1	0.037676139	0.999993071
csde016703.1	-0.173222945	0.999993071
csde028490.1	0.158097483	0.999993071
csde007980.1	-0.014690152	0.999993071
csde018816.1	0.010551807	0.999993071
csde010641.1	-0.019324877	0.999993071
csde014181.1	0.04390559	0.999993071
csde007581.1	-0.008502877	0.999993071
csde026889.1	-0.01355938	0.999993071
csde008227.1	0.120119859	0.999993071
csde029798.1	0.048754042	0.999993071
csde015005.1	0.004154779	0.999993071
csde007996.1	0.014432402	0.999993071
csde024942.1	-0.010189373	0.999993071
csde015844.1	0.009317623	0.999993071
csde013085.1	0.010886785	0.999993071
csde012511.1	-0.024037971	0.999993071
csde032375.1	-0.034415048	0.999993071
csde011533.1	0.134374875	0.999993071
csde017221.1	-0.055874734	0.999993071
csde020273.1	0.013970414	0.999993071
csde005340.1	0.034042346	0.999993071
csde004607.1	-0.004952499	0.999993071
csde029844.1	0.024733079	0.999993071
csde000902.1	-0.006686184	0.999993071
csde031167.1	-0.011570162	0.999993071
csde015692.1	-0.009258582	0.999993071
csde029198.1	0.008262451	0.999993071
csde023261.1	-0.005697442	0.999993071
csde031025.1	-0.002365301	0.999993071
csde022136.1	-0.009265124	0.999993071
csde013930.1	0.003820879	0.999993071
csde029235.1	-0.038712986	0.999993071
csde030890.1	-0.008059534	0.999993071
csde029688.1	-0.034236163	0.999993071
csde002680.1	0.003819798	0.999993071
csde030779.1	-0.029656498	0.999993071
csde027038.1	-0.066204583	0.999993071
csde010425.1	0.004518152	0.999993071
csde002201.1	-0.025824026	0.999993071
csde013265.1	0.005916557	0.999993071
csde000065.1	-0.013210241	0.999993071
csde000286.1	-0.005724232	0.999993071
csde008126.1	-0.052946013	0.999993071
csde018352.1	-0.038536711	0.999993071
csde019898.1	-0.042875383	0.999993071
csde012135.1	-0.009205588	0.999993071
csde029849.1	-0.004381762	0.999993071
csde008618.1	-0.02439978	0.999993071
csde031290.1	-0.002318188	0.999993071
csde003509.1	-0.02439978	0.999993071
csde011958.1	-0.000394792	0.999993071
csde024471.1	-0.001665086	0.999993071
